dataset,system,method,llm,weighted,coverage,redundancy
ArgKP21,Candidates,llama-3.3-70b-instruct.,llama-3.3-70b-instruct.,0.8446969696969697,0.8294642857142857,0.12483766233766234
ArgKP21,Candidates,qwen-2.5-72b-instruct.,qwen-2.5-72b-instruct.,0.8289702427202429,0.8298214285714286,0.17273212898212897
ArgKP21,Candidates,qwen3-32b.,qwen3-32b.,0.900348124098124,0.9148214285714286,0.12859848484848485
ArgKP21,Key,Points,llama-3.3-70b-instruct.,0.812337962962963,0.8433333333333333,0.2496527777777778
ArgKP21,Key,Points,qwen-2.5-72b-instruct.,0.9082010582010582,0.9086309523809524,0.09265873015873015
ArgKP21,Key,Points,qwen3-32b.,0.9254916225749558,0.9428306878306878,0.10918650793650791
ArgKP21,Candidates,llama-3.3-70b-instruct.,llama-3.3-70b-instruct.,0.8157228529983948,0.8975595238095239,0.3479504886238633
ArgKP21,Candidates,qwen-2.5-72b-instruct.,qwen-2.5-72b-instruct.,0.8434753550543023,0.8530357142857142,0.17564536340852133
ArgKP21,Candidates,qwen3-32b.,qwen3-32b.,0.8960340639752404,0.9327579365079366,0.17741368109015168
ArgKP21,Key,Pointsllama-3.3-70b-instruct.,Pointsllama-3.3-70b-instruct.,0.7956437389770724,0.8367195767195769,0.28650793650793654
ArgKP21,Key,Pointsqwen-2.5-72b-instruct.,Pointsqwen-2.5-72b-instruct.,0.8989087301587301,0.8914880952380951,0.08625000000000003
ArgKP21,Key,Pointsqwen3-32b.,Pointsqwen3-32b.,0.9199404761904763,0.9239285714285713,0.08803571428571429
